motor/temperature,motor/rpm,motor/current,motor/vibration/rmsX,motor/vibration/rmsY,motor/vibration/rmsZ,motor/vibration/crestX,motor/vibration/crestY,motor/vibration/crestZ
24.96,620,3.67,0.007,0.01,1.0254,1.4754,1.672,1.0347

24.96,620,3.67,0.007,0.01,1.0258,1.4754,1.672,1.0347

24.96,620,3.67,0.007,0.01,1.0258,1.5256,1.672,1.0347

24.96,620,3.67,0.007,0.01,1.0258,1.5256,1.6846,1.0347

24.96,620,3.67,0.007,0.01,1.0258,1.5256,1.6846,1.0348

24.96,620,3.67,0.007,0.01,1.0258,1.5256,1.6846,1.0348

24.93,620,3.67,0.007,0.01,1.0258,1.5256,1.6846,1.0348

24.93,620,3.64,0.007,0.01,1.0258,1.5256,1.6846,1.0348

24.93,620,3.64,0.0069,0.01,1.0258,1.5256,1.6846,1.0348

24.93,620,3.64,0.0069,0.0099,1.0258,1.5256,1.6846,1.0348

24.93,620,3.64,0.0069,0.0099,1.0257,1.5256,1.6846,1.0348

24.93,620,3.64,0.0069,0.0099,1.0257,1.5023,1.6846,1.0348

24.93,620,3.64,0.0069,0.0099,1.0257,1.5023,1.6565,1.0348

24.93,620,3.64,0.0069,0.0099,1.0257,1.5023,1.6565,1.0356

24.93,620,3.64,0.0069,0.0099,1.0257,1.5023,1.6565,1.0356

24.9,620,3.64,0.0069,0.0099,1.0257,1.5023,1.6565,1.0356

24.9,620,3.66,0.0069,0.0099,1.0257,1.5023,1.6565,1.0356

24.9,620,3.66,0.0069,0.0099,1.0257,1.5023,1.6565,1.0356

24.9,620,3.66,0.0069,0.0099,1.0257,1.5023,1.6565,1.0356

24.9,620,3.66,0.0069,0.0099,1.0253,1.5023,1.6565,1.0356

24.9,620,3.66,0.0069,0.0099,1.0253,1.6911,1.6565,1.0356

24.9,620,3.66,0.0069,0.0099,1.0253,1.6911,1.646,1.0356

24.9,620,3.66,0.0069,0.0099,1.0253,1.6911,1.646,1.0342

24.9,620,3.66,0.0069,0.0099,1.0253,1.6911,1.646,1.0342

24.87,620,3.66,0.0069,0.0099,1.0253,1.6911,1.646,1.0342

24.87,620,3.67,0.0069,0.0099,1.0253,1.6911,1.646,1.0342

24.87,620,3.67,0.0068,0.0099,1.0253,1.6911,1.646,1.0342

24.87,620,3.67,0.0068,0.0099,1.0253,1.6911,1.646,1.0342

24.87,620,3.67,0.0068,0.0099,1.0252,1.6911,1.646,1.0342

24.87,620,3.67,0.0068,0.0099,1.0252,1.5406,1.646,1.0342

24.87,620,3.67,0.0068,0.0099,1.0252,1.5406,1.6803,1.0342

24.87,620,3.67,0.0068,0.0099,1.0252,1.5406,1.6803,1.0357

24.87,620,3.67,0.0068,0.0099,1.0252,1.5406,1.6803,1.0357

24.85,620,3.67,0.0068,0.0099,1.0252,1.5406,1.6803,1.0357

