24.86,640,3.67,0.0068,0.0093,1.0246,1.4824,1.6323,1.0361

24.88,640,3.67,0.0068,0.0093,1.0246,1.4824,1.6323,1.0361

24.88,640,3.67,0.0068,0.0093,1.0246,1.4824,1.6323,1.0361

24.88,640,3.67,0.0068,0.0093,1.0246,1.4824,1.6323,1.0361

24.88,640,3.67,0.0068,0.0092,1.0246,1.4824,1.6323,1.0361

24.88,640,3.67,0.0068,0.0092,1.0254,1.4824,1.6323,1.0361

24.88,640,3.67,0.0068,0.0092,1.0254,1.4988,1.6323,1.0361

24.88,640,3.67,0.0068,0.0092,1.0254,1.4988,1.5624,1.0361

24.88,640,3.67,0.0068,0.0092,1.0254,1.4988,1.5624,1.033

motor/temperature,motor/rpm,motor/current,motor/vibration/rmsX,motor/vibration/rmsY,motor/vibration/rmsZ,motor/vibration/crestX,motor/vibration/crestY,motor/vibration/crestZ
24.88,620,3.67,0.0069,0.0092,1.0245,1.5762,1.685,1.034

24.88,620,3.67,0.0069,0.0092,1.0245,1.5762,1.685,1.034

24.89,620,3.67,0.0069,0.0092,1.0245,1.5762,1.685,1.034

24.89,620,3.67,0.0069,0.0092,1.0245,1.5762,1.685,1.034

24.89,620,3.67,0.0078,0.0092,1.0245,1.5762,1.685,1.034

24.89,620,3.67,0.0078,0.0093,1.0245,1.5762,1.685,1.034

24.89,620,3.67,0.0078,0.0093,1.0249,1.5762,1.685,1.034

24.89,620,3.67,0.0078,0.0093,1.0249,1.4087,1.685,1.034

24.89,620,3.67,0.0078,0.0093,1.0249,1.4087,1.5005,1.034

24.89,620,3.67,0.0078,0.0093,1.0249,1.4087,1.5005,1.034

24.89,620,3.67,0.0078,0.0093,1.0249,1.4087,1.5005,1.034

24.88,620,3.67,0.0078,0.0093,1.0249,1.4087,1.5005,1.034

24.88,620,3.67,0.0078,0.0093,1.0249,1.4087,1.5005,1.034

24.88,620,3.67,0.0081,0.0093,1.0249,1.4087,1.5005,1.034

24.88,620,3.67,0.0081,0.0088,1.0249,1.4087,1.5005,1.034

24.88,620,3.67,0.0081,0.0088,1.0251,1.4087,1.5005,1.034

24.88,620,3.67,0.0081,0.0088,1.0251,1.4215,1.5005,1.034

24.88,620,3.67,0.0081,0.0088,1.0251,1.4215,1.4715,1.034

24.88,620,3.67,0.0081,0.0088,1.0251,1.4215,1.4715,1.0341

24.88,580,3.67,0.0081,0.0088,1.0251,1.4215,1.4715,1.0341

24.89,580,3.67,0.0081,0.0088,1.0251,1.4215,1.4715,1.0341

24.89,580,3.67,0.0081,0.0088,1.0251,1.4215,1.4715,1.0341

24.89,580,3.67,0.0081,0.0088,1.0251,1.4215,1.4715,1.0341

24.89,580,3.67,0.0081,0.0085,1.0251,1.4215,1.4715,1.0341

24.89,580,3.67,0.0081,0.0085,1.0255,1.4215,1.4715,1.0341

24.89,580,3.67,0.0081,0.0085,1.0255,1.377,1.4715,1.0341

24.89,580,3.67,0.0081,0.0085,1.0255,1.377,1.5077,1.0341

24.89,580,3.67,0.0081,0.0085,1.0255,1.377,1.5077,1.0333

24.89,640,3.67,0.0081,0.0085,1.0255,1.377,1.5077,1.0333

24.9,640,3.67,0.0081,0.0085,1.0255,1.377,1.5077,1.0333

24.9,640,3.66,0.0081,0.0085,1.0255,1.377,1.5077,1.0333

24.9,640,3.66,0.008,0.0085,1.0255,1.377,1.5077,1.0333

24.9,640,3.66,0.008,0.0086,1.0255,1.377,1.5077,1.0333

24.9,640,3.66,0.008,0.0086,1.025,1.377,1.5077,1.0333

24.9,640,3.66,0.008,0.0086,1.025,1.4103,1.5077,1.0333

24.9,640,3.66,0.008,0.0086,1.025,1.4103,1.4134,1.0333

24.9,640,3.66,0.008,0.0086,1.025,1.4103,1.4134,1.0338

24.9,620,3.66,0.008,0.0086,1.025,1.4103,1.4134,1.0338

24.89,620,3.66,0.008,0.0086,1.025,1.4103,1.4134,1.0338

24.89,620,3.67,0.008,0.0086,1.025,1.4103,1.4134,1.0338

24.89,620,3.67,0.0081,0.0086,1.025,1.4103,1.4134,1.0338

24.89,620,3.67,0.0081,0.0085,1.025,1.4103,1.4134,1.0338

24.89,620,3.67,0.0081,0.0085,1.0255,1.4103,1.4134,1.0338

24.89,620,3.67,0.0081,0.0085,1.0255,1.4231,1.4134,1.0338

24.89,620,3.67,0.0081,0.0085,1.0255,1.4231,1.3947,1.0338

24.89,620,3.67,0.0081,0.0085,1.0255,1.4231,1.3947,1.0332

24.89,640,3.67,0.0081,0.0085,1.0255,1.4231,1.3947,1.0332

24.91,640,3.67,0.0081,0.0085,1.0255,1.4231,1.3947,1.0332

24.91,640,3.67,0.0081,0.0085,1.0255,1.4231,1.3947,1.0332

24.91,640,3.67,0.008,0.0085,1.0255,1.4231,1.3947,1.0332

24.91,640,3.67,0.008,0.0085,1.0255,1.4231,1.3947,1.0332

24.91,640,3.67,0.008,0.0085,1.0252,1.4231,1.3947,1.0332

24.91,640,3.67,0.008,0.0085,1.0252,1.5212,1.3947,1.0332

24.91,640,3.67,0.008,0.0085,1.0252,1.5212,1.3922,1.0332

24.91,640,3.67,0.008,0.0085,1.0252,1.5212,1.3922,1.0308

24.91,620,3.67,0.008,0.0085,1.0252,1.5212,1.3922,1.0308

24.9,620,3.67,0.008,0.0085,1.0252,1.5212,1.3922,1.0308

24.9,620,3.65,0.008,0.0085,1.0252,1.5212,1.3922,1.0308

24.9,620,3.65,0.008,0.0085,1.0252,1.5212,1.3922,1.0308

24.9,620,3.65,0.008,0.0085,1.0252,1.5212,1.3922,1.0308

24.9,620,3.65,0.008,0.0085,1.0252,1.5212,1.3922,1.0308

24.9,620,3.65,0.008,0.0085,1.0252,1.4913,1.3922,1.0308

24.9,620,3.65,0.008,0.0085,1.0252,1.4913,1.4581,1.0308

24.9,620,3.65,0.008,0.0085,1.0252,1.4913,1.4581,1.0066

24.9,620,3.65,0.008,0.0085,1.0252,1.4913,1.4581,1.0066

24.91,620,3.65,0.008,0.0085,1.0252,1.4913,1.4581,1.0066

24.91,620,3.67,0.008,0.0085,1.0252,1.4913,1.4581,1.0066

24.91,620,3.67,0.008,0.0085,1.0252,1.4913,1.4581,1.0066

24.91,620,3.67,0.008,0.0085,1.0252,1.4913,1.4581,1.0066

24.91,620,3.67,0.008,0.0085,1.0251,1.4913,1.4581,1.0066

24.91,620,3.67,0.008,0.0085,1.0251,1.3561,1.4581,1.0066

24.91,620,3.67,0.008,0.0085,1.0251,1.3561,1.4425,1.0066

24.91,620,3.67,0.008,0.0085,1.0251,1.3561,1.4425,1.007

24.91,600,3.67,0.008,0.0085,1.0251,1.3561,1.4425,1.007

24.92,600,3.67,0.008,0.0085,1.0251,1.3561,1.4425,1.007

24.92,600,3.67,0.008,0.0085,1.0251,1.3561,1.4425,1.007

24.92,600,3.67,0.008,0.0085,1.0251,1.3561,1.4425,1.007

24.92,600,3.67,0.008,0.0084,1.0251,1.3561,1.4425,1.007

24.92,600,3.67,0.008,0.0084,1.0247,1.3561,1.4425,1.007

24.92,600,3.67,0.008,0.0084,1.0247,1.3553,1.4425,1.007

24.92,600,3.67,0.008,0.0084,1.0247,1.3553,1.4047,1.007

24.92,600,3.67,0.008,0.0084,1.0247,1.3553,1.4047,1.0073

24.92,640,3.67,0.008,0.0084,1.0247,1.3553,1.4047,1.0073

24.92,640,3.67,0.008,0.0084,1.0247,1.3553,1.4047,1.0073

24.92,640,3.67,0.008,0.0084,1.0247,1.3553,1.4047,1.0073

24.92,640,3.67,0.0081,0.0084,1.0247,1.3553,1.4047,1.0073

24.92,640,3.67,0.0081,0.0084,1.0247,1.3553,1.4047,1.0073

24.92,640,3.67,0.0081,0.0084,1.0255,1.3553,1.4047,1.0073

24.92,640,3.67,0.0081,0.0084,1.0255,1.3916,1.4047,1.0073

24.92,640,3.67,0.0081,0.0084,1.0255,1.3916,1.4288,1.0073

24.92,640,3.67,0.0081,0.0084,1.0255,1.3916,1.4288,1.0332

24.92,620,3.67,0.0081,0.0084,1.0255,1.3916,1.4288,1.0332

24.94,620,3.67,0.0081,0.0084,1.0255,1.3916,1.4288,1.0332

24.94,620,3.67,0.0081,0.0084,1.0255,1.3916,1.4288,1.0332

24.94,620,3.67,0.008,0.0084,1.0255,1.3916,1.4288,1.0332

24.94,620,3.67,0.008,0.0084,1.0255,1.3916,1.4288,1.0332

24.94,620,3.67,0.008,0.0084,1.0255,1.3916,1.4288,1.0332

24.94,620,3.67,0.008,0.0084,1.0255,1.3857,1.4288,1.0332

24.94,620,3.67,0.008,0.0084,1.0255,1.3857,1.4715,1.0332

24.94,620,3.67,0.008,0.0084,1.0255,1.3857,1.4715,1.03

24.94,600,3.67,0.008,0.0084,1.0255,1.3857,1.4715,1.03

24.93,600,3.67,0.008,0.0084,1.0255,1.3857,1.4715,1.03

24.93,600,3.65,0.008,0.0084,1.0255,1.3857,1.4715,1.03

24.93,600,3.65,0.008,0.0084,1.0255,1.3857,1.4715,1.03

